name,draft_year,sportsref_player_raw,sportsref_url,sportsref_match_method,sportsref_match_score,sportsref_school,sportsref_conf,sportsref_season,sportsref_games,sportsref_games_started,sportsref_mpg,sportsref_ppg,sportsref_rpg,sportsref_apg,sportsref_spg,sportsref_bpg,sportsref_tpg,sportsref_fg_pct,sportsref_two_pct,sportsref_three_pct,sportsref_ft_pct
paul millsap,2006,paul millsap,https://www.sports-reference.com/cbb/players/paul-millsap-1.html,slug_search,100.0,Louisiana Tech,WAC,2005-06,33.0,33.0,34.1,19.6,13.3,1.1,1.9,2.3,2.5,0.571,0.578,0.357,0.623
pinnock,2006,j r pinnock,https://www.sports-reference.com/cbb/players/jr-pinnock-1.html,slug_search,100.0,George Washington,A-10,2005-06,30.0,30.0,31.6,14.5,5.3,3.1,2.4,0.5,2.0,0.485,0.563,0.275,0.709
quincy douby,2006,quincy douby,https://www.sports-reference.com/cbb/players/quincy-douby-1.html,slug_search,100.0,Rutgers,Big East,2005-06,33.0,33.0,36.7,25.4,4.3,3.1,1.8,0.8,2.8,0.462,0.515,0.401,0.847
rajon rondo,2006,rajon rondo,https://www.sports-reference.com/cbb/players/rajon-rondo-1.html,slug_search,100.0,Kentucky,SEC,2005-06,34.0,28.0,31.0,11.2,6.1,4.9,2.0,0.1,2.3,0.482,0.54,0.273,0.571
randy foye,2006,randy foye,https://www.sports-reference.com/cbb/players/randy-foye-1.html,slug_search,100.0,Villanova,Big East,2005-06,33.0,33.0,34.7,20.5,5.8,3.0,1.4,0.6,2.2,0.411,0.463,0.35,0.791
renaldo balkman,2006,renaldo balkman,https://www.sports-reference.com/cbb/players/renaldo-balkman-1.html,slug_search,100.0,South Carolina,SEC,2005-06,38.0,22.0,25.7,9.6,6.3,1.9,1.7,1.3,1.7,0.608,0.624,0.308,0.538
rodney carney,2006,rodney carney,https://www.sports-reference.com/cbb/players/rodney-carney-1.html,slug_search,100.0,Memphis,CUSA,2005-06,37.0,29.0,27.2,17.2,4.3,1.3,1.3,0.7,1.5,0.436,0.484,0.391,0.712
ronnie brewer,2006,ronnie brewer,https://www.sports-reference.com/cbb/players/ronnie-brewer-1.html,slug_search,100.0,Arkansas,SEC,2005-06,32.0,31.0,34.8,18.4,4.8,3.3,2.6,0.5,2.2,0.441,0.493,0.338,0.75
rudy gay,2006,rudy gay,https://www.sports-reference.com/cbb/players/rudy-gay-1.html,slug_search,100.0,UConn,Big East,2005-06,33.0,33.0,30.8,15.2,6.4,2.1,1.8,1.6,2.5,0.461,0.5,0.318,0.732
ryan hollins,2006,ryan hollins,https://www.sports-reference.com/cbb/players/ryan-hollins-1.html,slug_search,100.0,UCLA,Pac-10,2005-06,33.0,24.0,21.5,7.0,4.8,0.3,0.2,0.9,1.2,0.619,0.619,,0.602
shannon brown,2006,shannon brown,https://www.sports-reference.com/cbb/players/shannon-brown-1.html,slug_search,100.0,Michigan St.,Big Ten,2005-06,34.0,34.0,35.2,17.2,4.4,2.7,1.5,0.1,2.5,0.467,0.513,0.39,0.83
shawne williams,2006,shawne williams,https://www.sports-reference.com/cbb/players/shawne-williams-1.html,slug_search,100.0,Memphis,CUSA,2005-06,36.0,34.0,27.3,13.2,6.2,1.9,1.4,1.4,2.3,0.416,0.489,0.312,0.786
shelden williams,2006,shelden williams,https://www.sports-reference.com/cbb/players/shelden-williams-1.html,slug_search,100.0,Duke,ACC,2005-06,36.0,36.0,33.3,18.8,10.7,1.1,1.7,3.8,2.5,0.578,0.582,0.333,0.744
solomon jones,2006,solomon jones,https://www.sports-reference.com/cbb/players/solomon-jones-1.html,slug_search,100.0,South Fla.,Big East,2005-06,29.0,29.0,36.4,13.2,9.8,1.3,0.9,3.1,3.5,0.484,0.488,0.0,0.778
steve novak,2006,steve novak,https://www.sports-reference.com/cbb/players/steve-novak-1.html,slug_search,100.0,Marquette,Big East,2005-06,31.0,31.0,33.8,17.5,5.9,1.3,0.6,0.1,1.0,0.477,0.5,0.467,0.974
